epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,285.062,0.58435,0.87811,0.80621,0.02106,0.96667,0.67105,0.55338,0.67646,2.74944,0.80944,0.000387713,0.000387713,0.000387713
43,289.804,0.60454,0.82898,0.813,1,0.30693,0.69857,0.58988,0.64238,2.61694,0.80877,0.000392218,0.000392218,0.000392218
44,294.542,0.63978,1.1124,0.84044,1,0.30693,0.69857,0.58988,0.64238,2.61694,0.80877,0.000396487,0.000396487,0.000396487
45,300.545,0.68565,0.9712,0.81154,1,0.17183,0.72194,0.62018,0.58689,2.56026,0.80391,0.00040052,0.00040052,0.00040052
46,314.369,0.55501,0.84322,0.80318,1,0.17183,0.72194,0.62018,0.58689,2.56026,0.80391,0.000404318,0.000404318,0.000404318
47,328.735,0.57425,0.77875,0.7973,1,0.13647,0.72451,0.6355,0.52247,2.52119,0.79808,0.000407879,0.000407879,0.000407879
48,337.499,0.55421,0.70547,0.81529,1,0.13647,0.72451,0.6355,0.52247,2.52119,0.79808,0.000411205,0.000411205,0.000411205
49,344.632,0.53467,0.69051,0.79494,1,0.1295,0.73289,0.64505,0.51273,2.48048,0.80028,0.000414296,0.000414296,0.000414296
50,352.501,0.56864,0.7719,0.80465,1,0.1295,0.73289,0.64505,0.51273,2.48048,0.80028,0.00041715,0.00041715,0.00041715
51,358.518,0.56492,0.70585,0.80846,1,0.17805,0.89613,0.78886,0.56533,2.38996,0.80622,0.000419769,0.000419769,0.000419769
52,364.101,0.53301,0.70445,0.79537,1,0.17805,0.89613,0.78886,0.56533,2.38996,0.80622,0.000422152,0.000422152,0.000422152
53,370.055,0.48895,0.71384,0.81986,1,0.17805,0.89613,0.78886,0.56533,2.38996,0.80622,0.000424299,0.000424299,0.000424299
54,376.883,0.61643,0.84143,0.82699,1,0.14999,0.98294,0.87522,0.52424,2.25154,0.79986,0.00042621,0.00042621,0.00042621
55,382.721,0.529,0.69588,0.79166,1,0.14999,0.98294,0.87522,0.52424,2.25154,0.79986,0.000427885,0.000427885,0.000427885
56,388.269,0.60513,0.67536,0.80304,1,0.14999,0.98294,0.87522,0.52424,2.25154,0.79986,0.000429325,0.000429325,0.000429325
57,393.5,0.51627,0.7057,0.80788,1,0.33942,0.99002,0.88866,0.47501,2.11968,0.7925,0.000430529,0.000430529,0.000430529
58,398.695,0.60052,0.72305,0.79288,1,0.33942,0.99002,0.88866,0.47501,2.11968,0.7925,0.000431497,0.000431497,0.000431497
59,403.754,0.5268,0.63,0.81394,1,0.33942,0.99002,0.88866,0.47501,2.11968,0.7925,0.00043223,0.00043223,0.00043223
60,409.102,0.55369,0.71951,0.8325,1,0.52541,0.99099,0.88903,0.45392,2.00957,0.78857,0.000432726,0.000432726,0.000432726
61,413.941,0.53348,0.67754,0.78732,1,0.52541,0.99099,0.88903,0.45392,2.00957,0.78857,0.000432987,0.000432987,0.000432987
62,419.234,0.60511,0.72845,0.76425,1,0.52541,0.99099,0.88903,0.45392,2.00957,0.78857,0.000433012,0.000433012,0.000433012
63,425.632,0.57651,0.67058,0.80226,0.99687,0.59251,0.9934,0.88474,0.47717,1.92777,0.78772,0.000432801,0.000432801,0.000432801
64,431.656,0.55395,0.68108,0.82303,0.99687,0.59251,0.9934,0.88474,0.47717,1.92777,0.78772,0.000432355,0.000432355,0.000432355
65,436.9,0.5076,0.66783,0.79786,0.99687,0.59251,0.9934,0.88474,0.47717,1.92777,0.78772,0.000431672,0.000431672,0.000431672
66,442.422,0.55857,0.64256,0.80862,1,0.62277,0.995,0.88608,0.48556,1.86063,0.79016,0.000430754,0.000430754,0.000430754
67,447.528,0.4668,0.6546,0.79515,1,0.62277,0.995,0.88608,0.48556,1.86063,0.79016,0.0004296,0.0004296,0.0004296
68,452.424,0.47979,0.62577,0.79641,1,0.62277,0.995,0.88608,0.48556,1.86063,0.79016,0.000428211,0.000428211,0.000428211
69,458.213,0.53647,0.7115,0.79254,1,0.6227,0.995,0.88712,0.461,1.80683,0.78809,0.000426585,0.000426585,0.000426585
70,463.364,0.41347,0.63944,0.7964,1,0.6227,0.995,0.88712,0.461,1.80683,0.78809,0.000424724,0.000424724,0.000424724
71,468.253,0.48915,0.60527,0.81056,1,0.6227,0.995,0.88712,0.461,1.80683,0.78809,0.000422627,0.000422627,0.000422627
72,473.286,0.46949,0.61863,0.79341,1,0.68363,0.995,0.89556,0.45939,1.68937,0.78597,0.000420294,0.000420294,0.000420294
73,478.042,0.49182,0.62955,0.81223,1,0.68363,0.995,0.89556,0.45939,1.68937,0.78597,0.000417725,0.000417725,0.000417725
74,482.955,0.52544,0.61399,0.79988,1,0.68363,0.995,0.89556,0.45939,1.68937,0.78597,0.000414921,0.000414921,0.000414921
75,488.739,0.55442,0.65754,0.82986,0.99673,0.85874,0.995,0.90995,0.45856,1.55175,0.78317,0.000411881,0.000411881,0.000411881
